juno_address,cosmos_address,resp_amount,comment
juno10ge3g8hsqx275lj6g7gzsuyghd49hkas8mvwdgqyadtzx828k6wq9zzyrr,cosmos1nxxz937qd6zqxllwplydy6hts97c4amaqj8jxa57nsme3dmckk4s3mqujr,20,"Smart-contract/module source address; RESP routed to the new Reputation SubDAO treasury, not to the contract address."
juno10gjze3ct8j5vkk6aspj2wdc8xldpj53gp3jw9y,cosmos10gjze3ct8j5vkk6aspj2wdc8xldpj53ghr34zc,1,
juno10h5qkujhw8jnztppngtjtg5wy2ma9xwqatwysu,cosmos10h5qkujhw8jnztppngtjtg5wy2ma9xwqtedlhq,475,
juno10h70yf335v3n0ahkm95qwrx6l2tnfhcrhjqm9t,cosmos10h70yf335v3n0ahkm95qwrx6l2tnfhcrpqrqzh,2,
juno10hm8wmpkn7qhp4cd2d784r5t4lvnwy0sqvkqn3,cosmos10hm8wmpkn7qhp4cd2d784r5t4lvnwy0sk74m5d,3,
juno10j98jz3qxekpkv43tu2zs37rflvppkluerm77h,cosmos10j98jz3qxekpkv43tu2zs37rflvppklu03c9et,2,
juno10jh736v8zsxk0rwv76ym0gvjddx63t5580gm0y,cosmos10jh736v8zsxk0rwv76ym0gvjddx63t553atqgc,1,
juno10jke06yz08nzkqj5vhk97yuhktjdmvk8jje4lq,cosmos10jke06yz08nzkqj5vhk97yuhktjdmvk8yq6wcu,8,
juno10k0pvtwupqsvca0qc0wxt67v34mkz0nf2sfsj5,cosmos10k0pvtwupqsvca0qc0wxt67v34mkz0nfuz2t4g,1,
juno10ka033a6vx803h7hd4mfe3l8ky0txwcq64rfuu,cosmos10ka033a6vx803h7hd4mfe3l8ky0txwcqv8qjmq,10,
juno10lgdszxem58cy6nvh4nkffd4t3f8vaa9x34e2c,cosmos10lgdszxem58cy6nvh4nkffd4t3f8vaa9srkzdy,1,
juno10lhqnzq6nhemqa0y5hrj8vvgwhpyz7yymypeu8,cosmos10lhqnzq6nhemqa0y5hrj8vvgwhpyz7yydkzzmm,4,
juno10mmevhxjthxy7yqdaufcxpe0l20u4n8z262qnl,cosmos10mmevhxjthxy7yqdaufcxpe0l20u4n8zugfm5r,9,
juno10mndjnx8xgn4e5mkf45lxyqge6kruzt2rp642kp5p33s3vyde4msmevhxd,cosmos1nxxz937qd6zqxllwplydy6hts97c4amaqj8jxa57nsme3dmckk4s3mqujr,20,"Smart-contract/module source address; RESP routed to the new Reputation SubDAO treasury, not to the contract address."
juno10n3aag4k0mj66qa2hu7srxnvd0pduu78g3kznl,cosmos10n3aag4k0mj66qa2hu7srxnvd0pduu787r4e5r,2,
juno10n5ldatqhdvuvstc4dpf6rlap9kcp22k727mqk,cosmos10n5ldatqhdvuvstc4dpf6rlap9kcp22kgcaq82,51,
juno10p5jd6yz2twvvzg5c7gq2l6v6u42vthcmfkuq8,cosmos10p5jd6yz2twvvzg5c7gq2l6v6u42vthcdm488m,5,
juno10p866hul4r7jzp894lcxzjg74zk4g484m8z4y82ha3z44ccqymkqdvaqvh,cosmos1nxxz937qd6zqxllwplydy6hts97c4amaqj8jxa57nsme3dmckk4s3mqujr,10,"Smart-contract/module source address; RESP routed to the new Reputation SubDAO treasury, not to the contract address."
juno10pjj5ye6spe7vgqcph2exm2pcx4m5gv9yldz89,cosmos10pjj5ye6spe7vgqcph2exm2pcx4m5gv9jdweqe,1,
juno10rcp23tqkwcx674qn3lcph0kvag4ey00dfssrk,cosmos10rcp23tqkwcx674qn3lcph0kvag4ey00mmnty2,1,
juno10s944fgumfqtw384864xq0zl69z9gg2dyxnv5x,cosmos10s944fgumfqtw384864xq0zl69z9gg2dj5shn6,2,
juno10s9kyld4wgn02kzst3nqnjmkv3rmw072d4jpvp,cosmos10s9kyld4wgn02kzst3nqnjmkv3rmw072m836ta,49,
juno10seshkv5y3p8hlcpnl7y2zm4fs5rlj0d7thryg,cosmos10seshkv5y3p8hlcpnl7y2zm4fs5rlj0dge5cr5,44,
juno10t7jch0fegk55vzgw346vjglrv6fz8uecllcg4,cosmos10t7jch0fegk55vzgw346vjglrv6fz8uewdur0f,1,
juno10tdzve88uxc535vc7qavy0ddcfftxct7sc5xuh,cosmos10tdzve88uxc535vc7qavy0ddcfftxct7x2hamt,7,
juno10tfkkqam5fyckew3s39pz9m2mjj2dj20efwcu6,cosmos10tfkkqam5fyckew3s39pz9m2mjj2dj200mdrmx,7,
juno10tp6zckddjwtl22jdurra5yadx72tyx6rkz896,cosmos10tp6zckddjwtl22jdurra5yadx72tyx64ypuzx,2,
juno10vp3rh6j5gu4xngngzc6lyr5m36ge8x4quqc2n,cosmos10vp3rh6j5gu4xngngzc6lyr5m36ge8x4kwrrd0,8,
juno10vre4850d9zdx5g3rk4ejvdnzmr2neye0lx00m,cosmos10vre4850d9zdx5g3rk4ejvdnzmr2neyeed95g8,10,
juno10vwfuv83he5pumzwajrfspar8yydclskapc9zy,cosmos10vwfuv83he5pumzwajrfspar8yydclsktnm79c,16,
juno10vyhmvqyy9jsygrprtshjrwsxywh2sznpd53aj,cosmos10vyhmvqyy9jsygrprtshjrwsxywh2sznhlh26w,61,
juno10w2gfnv32j3mxj93zlgez5pyyen9wqtj4dd8ey,cosmos10w2gfnv32j3mxj93zlgez5pyyen9wqtjrlwu7c,3,
